_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad
83.766875,-5.4436667,1674,05 35 04.05,-05 26 37.2,12.08,0.02,11.19,0.03,10.91,0.02,10.07,0.01,9.78,0.01,9.27,0.01,8.38,0.01,,,0.25,-0.88,D,2M,Simbad
83.7569583,-5.4433889,1675,05 35 01.67,-05 26 36.2,14.24,0.03,13.05,0.1,12.16,0.05,10.82,0.01,10.21,0.01,9.74,0.01,9.04,0.02,,,0.2,-0.81,D,2M,Simbad
83.616375,-5.4428889,1676,05 34 27.93,-05 26 34.4,12.23,0.04,11.26,0.04,10.65,0.03,9.07,0.01,8.39,0.01,7.68,0.01,6.73,0.01,3.93,0.01,0.12,-0.14,D,2M,Simbad
83.9275833,-5.4426389,1677,05 35 42.62,-05 26 33.5,14.6,0.04,14.01,0.04,13.45,0.02,12.58,0.02,12.17,0.02,,,,,,,0.0,,D,2M,Simbad
83.6989167,-5.4421389,1678,05 34 47.74,-05 26 31.7,15.42,0.06,14.44,0.08,13.89,0.05,13.09,0.01,12.83,0.01,12.16,0.05,,,,,0.18,,D,2M,Simbad
83.8519167,-5.4420556,1679,05 35 24.46,-05 26 31.4,11.85,0.02,10.84,0.03,10.22,0.02,9.54,0.01,9.06,0.01,8.54,0.01,7.58,0.03,,,0.17,-0.58,D,2M,Simbad
83.608875,-5.4416667,1680,05 34 26.13,-05 26 30.0,11.17,0.02,9.98,0.03,9.15,0.02,7.68,0.01,7.12,0.01,6.68,0.01,5.91,0.01,2.65,0.01,0.24,-0.83,D,2M,Simbad
83.8154167,-5.4411389,1681,05 35 15.70,-05 26 28.1,12.46,0.02,11.29,0.03,10.71,0.02,9.84,0.01,9.6,0.01,8.54,0.09,,,,,0.4,,D,2M,Simbad
83.7675,-5.4410556,1682,05 35 04.20,-05 26 27.8,12.12,0.03,11.1,0.04,10.58,0.03,9.73,0.01,9.4,0.01,9.14,0.01,8.52,0.01,,,0.26,-1.47,D,2M,Simbad
83.7210417,-5.4410278,1683,05 34 53.05,-05 26 27.7,14.79,0.04,14.18,0.05,13.7,0.04,13.02,0.01,12.49,0.01,12.19,0.05,,,,,0.0,,D,2M,Simbad
83.9452917,-5.4408889,1684,05 35 46.87,-05 26 27.2,15.55,0.05,13.99,0.03,13.06,0.02,12.18,0.04,11.8,0.03,,,,,,,0.64,,D,2M,Simbad
83.8485833,-5.4407778,1685,05 35 23.66,-05 26 26.8,,,,,,,9.45,0.01,8.9,0.01,8.65,0.01,8.08,0.03,,,,-1.33,D,2M,Simbad
83.7044167,-5.4406944,1686,05 34 49.06,-05 26 26.5,13.23,0.02,12.41,0.03,11.87,0.02,11.3,0.01,10.8,0.01,10.51,0.01,9.66,0.02,,,0.0,-1.0,D,2M,Simbad
84.1551667,-5.4403333,1687,05 36 37.24,-05 26 25.2,11.64,0.02,10.84,0.03,10.37,0.02,9.95,0.01,9.66,0.01,9.49,0.01,8.98,0.03,5.74,0.02,0.01,-1.76,D,2M,Simbad
83.2592917,-5.4402778,1688,05 33 02.23,-05 26 25.0,10.36,0.02,9.7,0.02,9.23,0.02,8.28,0.01,7.92,0.01,7.61,0.01,6.57,0.01,3.58,0.02,0.0,-0.9,D,2M,Simbad
83.8273333,-5.4401667,1689,05 35 18.56,-05 26 24.6,14.61,0.06,12.45,0.03,11.21,0.02,9.73,0.01,9.23,0.01,8.2,0.01,,,,,1.18,,D,2M,Simbad
